id,사업유형,사업명,근거법,상위계획,지정주체,시도,시군구,읍면동,최초계획연도,현재단계,단계상세,지연여부,예타상태,최근확인일,lat,lng,출처URL,비고,인프라연계id,대략가격대,구역면적,건축면적,동수,세대수,건폐율,용적률,예상완공시기,추진위조합정보,인근부동산,초기투자프리미엄정보,인근시세비교
P103,광역교통,GTX-C (덕정~수원),광역교통법,제4차 수도권정비계획,국토교통부,경기·서울,양주~수원,,2011,착공,2026.4.30 실착공(중재 후) 완공 2031 이후 전망 청량리 변전소 등 현안,Y(당초 2028→2031+ 지연),통과,2026-07-05,37.5800,127.0480,https://namu.wiki/w/수도권 광역급행철도 C선,대표좌표=청량리역,,"해당없음(인프라사업, 매물 아님)",,,,,,,확인필요(원문 사업개요 없음),,,,
P201,재건축(노후계획도시),분당 선도지구(양지·샛별·시범·목련 등),노후계획도시특별법,제4차 수도권정비계획,성남시(입안)·경기도(결정),경기,성남시 분당구,,2024,특별정비계획입안,4곳 입안제안서 제출(2025 말) 용적률 평균 360% 안팎,N,"해당없음(공공주택특별법 지구지정, 예타 별도 절차)",2026-07-05,37.3800,127.1200,https://www.housingherald.co.kr/news/articleView.html?idxno=60035,선도지구 1차,,확인필요(조사 범위 밖),,,,,,,확인필요(원문 사업개요 없음),,,,
P202,재건축(노후계획도시),일산 선도지구(백송·후곡·강촌·정발),노후계획도시특별법,고양시(입안)·경기도(결정),고양시,경기,고양시 일산동구·서구,,2024,특별정비계획입안,구역지정 2026으로 이월 백송·후곡 자문 진행,Y(구역지정 이월),"해당없음(공공주택특별법 지구지정, 예타 별도 절차)",2026-07-05,37.6700,126.7700,https://www.housingherald.co.kr/news/articleView.html?idxno=60035,,,확인필요(조사 범위 밖),,,,,,,확인필요(원문 사업개요 없음),,,,
P203,재건축(노후계획도시),평촌 선도지구(귀인·민백),노후계획도시특별법,안양시(입안)·경기도(결정),안양시,경기,안양시 동안구,,2024,특별정비계획입안,2곳 입안제안서 제출 민백 용적률 330%선,N,"해당없음(공공주택특별법 지구지정, 예타 별도 절차)",2026-07-05,37.3900,126.9600,https://www.housingherald.co.kr/news/articleView.html?idxno=60035,,,확인필요(조사 범위 밖),,,,,,,확인필요(원문 사업개요 없음),,,,
P204,재건축(노후계획도시),중동 선도지구(은하마을·반달마을A),노후계획도시특별법,부천시(입안)·경기도(결정),부천시,경기,부천시 원미구,중동,2024,특별정비구역지정,은하마을 특별정비구역 지정·고시 완료(2026.6) 반달A는 LH 협약 후 연내 지정 추진,N,"해당없음(공공주택특별법 지구지정, 예타 별도 절차)",2026-07-05,37.5000,126.7600,https://www.etoday.co.kr/news/view/2593709,은하마을=4개 단지 통합,,확인필요(조사 범위 밖),,,,,,,확인필요(원문 사업개요 없음),,,,
P205,재건축(노후계획도시),산본 선도지구(9-2구역 등),노후계획도시특별법,군포시(입안)·경기도(결정),군포시,경기,군포시,산본동,2024,사업시행자지정,9-2구역 1기 신도시 최초 특별정비구역 지정(2025.12)+LH 사업시행자 선정(2026.3)+사업시행약정 체결,N,"해당없음(공공주택특별법 지구지정, 예타 별도 절차)",2026-07-05,37.3600,126.9300,https://www.etoday.co.kr/news/view/2593709,1기 신도시 전체 선행 사례,,확인필요(조사 범위 밖),,,,,,,확인필요(원문 사업개요 없음),,,,
P301,재건축(도시정비법),현대3단지,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,산곡동,,추진위승인,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.489886,126.704434,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 산곡동 370-399. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,2억~3억(추정),,,,,,,확인필요(원문 사업개요 없음),"부평현대1·2·3단지 통합재건축 논의 중 — 3단지 단독 1,200세대(1989-09 입주, 14개동, 최고15층, 용적률203%, 건폐율18%). 1·2·3단지 합산 시 약 5,000가구(1단지2,204/2단지1,496/3단지1,200), 단지별 용적률 차이(182%/157%/203%)로 청산 과정 갈등 가능성 보도(인천in, 2026-07-20 검색 기준)","산곡동 소재 개별업체 미확인(2026-07-20, 당근 동네업체 목록에 산곡동 소재로 명확히 표시된 번호 있는 업체 없음) — 인접 부평동 거성공인중개사사무소 032-511-0777 / 도도공인중개사사무소 032-362-5220 참고 가능",관련 블로그·카페·SNS 프리미엄 정보 검색 결과 없음(2026-07-20 확인),"인근 신축 참고단지: 산곡1구역 푸르지오APT(입주 완료) / 인근 재개발 진행 중: 산곡6구역(2,706세대, 분양 진행) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P302,재건축(도시정비법),한양아파트2단지,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,산곡동,,추진위승인,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.503595,126.701273,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 산곡동 182. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,2억~3억(추정),"55,964","13,129.01",0,0,26.13,249.96,확인필요(착공일 정보 없음),"재건축 최고 29층, 총 1,118세대 추정, 비례율 95.11% 보도(검색결과 요약 기준, 원문 재확인 권장, 2026-07-20)","산곡동 소재 개별업체 미확인(2026-07-20, 당근 동네업체 목록에 산곡동 소재로 명확히 표시된 번호 있는 업체 없음) — 인접 부평동 거성공인중개사사무소 032-511-0777 / 도도공인중개사사무소 032-362-5220 참고 가능",관련 블로그·카페·SNS 프리미엄 정보 검색 결과 없음(2026-07-20 확인),"인근 신축 참고단지: 산곡1구역 푸르지오APT(입주 완료) / 인근 재개발 진행 중: 산곡6구역(2,706세대, 분양 진행) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P303,주거환경개선,하하골마을(현지개량),"도시정비법(현지개량방식 주거환경개선사업)+도시재생법(국비 마중물, 도시재생 뉴딜 인정사업)",2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,부평동,,준공,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과 → 원문(iurc.or.kr) 확인 결과 실질 사업내용은 도시재생 뉴딜(인정사업)로 정정,N,"해당없음(도시재생 뉴딜 인정사업, 국비 마중물사업 예타 비대상)",2026-07-19,37.485805,126.712842,https://www.iurc.or.kr/bbs/board.php?bo_table=b_31&wr_id=40,"대표지번: 부평동 767-27 일원(총면적 758㎡, 백운역~동수역 사이. 인천시 추정분담금시스템은 767-23으로 표기해 지번이 두 원문간 약간 다름). 좌표는 역간 근사치, 정확한 필지 좌표 아님. 사업내용은 도로개선·공영주차장·커뮤니티센터·작은도서관 등 공공시설 건립이며 신축 분양주택 공급이 없어 매물/실거래 자체가 존재하지 않음 — 투자 대상으로 보기 부적절",,"해당없음(공공시설 건립사업, 매물 아님)","45,363",,,,,,준공됨,,,,
P304,재개발,하정초동측(십정6) / 정비구역후보지(23년 2차),도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,십정동,,정비구역지정,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.474092,126.700174,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 십정동 397번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,5천만원대~1억(추정),"80,723.9",,,,,,확인필요(착공일 정보 없음),"정비구역지정 단계 — 추진위원회 미구성(2026-07-20 확인, 인천시 정비사업 정보시스템 renewal.incheon.go.kr 사업개요 기준)","부동산 판(더샵부평점) 010-8028-1848; 골든크로스 부동산 032-441-7771(십정동 소재, 2026-07-20 당근 동네업체 목록 기준)","추진위 미구성 단계라 조합원 프리미엄 개념이 아직 형성되지 않음(2026-07-20 확인, 블로그·카페 검색에서도 관련 정보 없음)","인근 신축 참고단지: 힐스테이트부평(십정동 642, 2023년 준공) / 대단지 더샵부평센트럴시티(십정동 630) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P305,재건축(도시정비법),청천대진아파트구역,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,청천2동,,사업시행인가,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.505050,126.715252,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 청천2동 236번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,3억+(추정),"14,512.1","2,730.42",6,401,19.06,249.04,확인필요(착공일 정보 없음),"청천동 236번지 일원(2011 정비구역지정), 14,512㎡, 지하2~지상29층 6개동 401세대. 시공 한화건설. 사업시행인가 후 10월 조합원분양공고 계획 보도 — 정확한 연도는 원문 재확인 필요. 출처: 인천투데이 등(2026-07-20 검색)","부평 복덩이 부동산 010-4797-7999(청천동·산곡동 소재 — 번호는 검색으로만 확인돼 신뢰도 상대적으로 낮음, 2026-07-20); 뉴타운그랑힐스공인중개사사무소(청천동, 전화번호 미확인)",관련 블로그·카페·SNS 프리미엄 정보 검색 결과 없음(2026-07-20 확인),"인근 신축 참고단지: e편한세상부평그랑힐스(청천동) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P306,재개발,청천4구역 / 정비구역후보지(23년 2차),도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,청천동,,추진위승인,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.517966,126.703346,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 청천동 16-8번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,5천만원대~1억(추정),"42,385",,,,,,확인필요(착공일 정보 없음),"현재단계=추진위승인(db 자체 추적값, 최근확인일 2026-07-05 기준) — 다만 추진위원회 명칭·사무실 연락처는 뉴스·인천시 정비사업 정보시스템에서 특정하지 못함(2026-07-20 검색 시도, renewal.incheon.go.kr 사업개요 페이지에도 조직정보 없음)","부평 복덩이 부동산 010-4797-7999(청천동·산곡동 소재 — 당근 동네업체 목록엔 이름만 확인되고 번호는 별도 검색으로만 확인돼 신뢰도 상대적으로 낮음, 2026-07-20); 뉴타운그랑힐스공인중개사사무소(청천동, 전화번호 미확인)",추진위승인 초기 단계로 관련 블로그·카페 프리미엄 정보 검색 결과 없음(2026-07-20 확인) — 통상 프리미엄 거래는 조합설립인가 이후 활성화되는 경우가 많음,"인근 신축 참고단지: e편한세상부평그랑힐스(청천동) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P307,재건축(도시정비법),진흥·동남,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,산곡동,,추진위승인,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.512473,126.702078,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 산곡동 38-26. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,2억~3억(추정),,,,,,,확인필요(원문 사업개요 없음),추진위승인 단계(db 추적값) — 검색으로 조합/추진위 명칭·연락처를 특정하지 못함(2026-07-20 시도). '진흥·동남'은 인접한 진흥아파트·동남아파트 통합 재건축을 지칭하는 것으로 추정되나 확인 안됨,"산곡동 소재 개별업체 미확인(2026-07-20, 당근 동네업체 목록에 산곡동 소재로 명확히 표시된 번호 있는 업체 없음) — 인접 부평동 거성공인중개사사무소 032-511-0777 / 도도공인중개사사무소 032-362-5220 참고 가능",관련 블로그·카페·SNS 프리미엄 정보 검색 결과 없음(2026-07-20 확인),"인근 신축 참고단지: 산곡1구역 푸르지오APT(입주 완료) / 인근 재개발 진행 중: 산곡6구역(2,706세대, 분양 진행) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P308,주거환경개선,일신동(현지개량),도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,일신동,,정비구역지정,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-19,37.484671,126.742738,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 일신동 106-29. 기존 좌표(37.5205,126.7051)가 일신동 행정경계 바깥이라 동 중심좌표로 정정(필지 단위 아님). '하하골마을(현지개량)'과 동일한 분류라 실제로는 도시재생 뉴딜사업(공공시설 건립, 매물 없음)일 가능성 있으나 원문 미확인 — 가격대는 확인 전까지 미산정",,"확인필요(하하골마을과 동일 유형, 도시재생사업 여부 원문 미확인)",,,,,,,확인필요(원문 사업개요 없음),"군부대(예비군훈련장 등) 이전 관련 부지라는 언급만 확인, 구체적인 정비사업 추진위/조합 정보는 검색으로 확인 안됨(2026-07-20) — '현지개량'형은 일반 재건축·재개발과 달리 개별 필지 단위 개량이라 통합 추진위/조합 자체가 없을 가능성 있음",일신동 소재 개별업체 확인 안됨(2026-07-20),관련 블로그·카페·SNS 프리미엄 정보 검색 결과 없음(2026-07-20 확인),일신동은 개별 필지 단위 현지개량형이라 비교 대상 신축단지 자체가 없음(2026-07-20 확인)
P309,재개발,십정초주변(십정1) / 정비구역후보지(23년 2차),도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,십정동,,정비구역지정,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.472361,126.695519,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 십정동 355-1번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,5천만원대~1억(추정),"205,088",,,,,,확인필요(착공일 정보 없음),"정비구역지정 단계 — 추진위원회 미구성(2026-07-20 확인, 인천시 정비사업 정보시스템 renewal.incheon.go.kr 사업개요 기준)","부동산 판(더샵부평점) 010-8028-1848; 골든크로스 부동산 032-441-7771(십정동 소재, 2026-07-20 당근 동네업체 목록 기준)","추진위 미구성 단계라 조합원 프리미엄 개념이 아직 형성되지 않음(2026-07-20 확인, 블로그·카페 검색에서도 관련 정보 없음)","인근 신축 참고단지: 힐스테이트부평(십정동 642, 2023년 준공) / 대단지 더샵부평센트럴시티(십정동 630) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P310,재개발,십정5구역,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,십정동,,관리처분,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.468684,126.696301,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 십정동 460-22번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,2억~3억(추정),"94,474","14,479.73",23,"2,217",19.98,284.51,확인필요(착공일 정보 없음),십정동 460-22번지 일원 — 정비계획 결정 및 정비구역 지정 고시 확인(db 추적 현재단계는 이후 관리처분까지 진전). 세대수·시공사 등은 검색으로 특정 못함(2026-07-20),"부동산 판(더샵부평점) 010-8028-1848; 골든크로스 부동산 032-441-7771(십정동 소재, 2026-07-20 당근 동네업체 목록 기준)",관련 블로그·카페·SNS 프리미엄 정보 검색 결과 없음(2026-07-20 확인),"인근 신축 참고단지: 힐스테이트부평(십정동 642, 2023년 준공) / 대단지 더샵부평센트럴시티(십정동 630) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P311,재개발,십정4구역,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,십정동,,관리처분,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.480631,126.699371,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 십정동 166-1번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,2억~3억(추정),"45,196.1",0,0,967,0,0,확인필요(착공일 정보 없음),"십정동 166-1번지 일대, 45,191.1㎡, 지하3~지상35층 962세대(조합원분양641/일반분양262/보류지9). 2024-09-24 임시총회에서 대우건설 시공사 선정, 관리처분총회는 익년 상반기 계획 보도 — db 추적 현재단계는 이후 관리처분인가까지 진전. 출처: 하우징헤럴드/RC뉴스(2026-07-20 검색)","부동산 판(더샵부평점) 010-8028-1848; 골든크로스 부동산 032-441-7771(십정동 소재, 2026-07-20 당근 동네업체 목록 기준)",관련 블로그·카페·SNS 프리미엄 정보 검색 결과 없음(2026-07-20 확인),"인근 신축 참고단지: 힐스테이트부평(십정동 642, 2023년 준공) / 대단지 더샵부평센트럴시티(십정동 630) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P312,재개발,십정3구역,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,십정동,,관리처분,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.476795,126.702019,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 십정동 432번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,2억~3억(추정),"34,552","5,548.59",10,761,20.05,270.43,확인필요(착공일 정보 없음),"십정동 432번지 일대, 지하3~지상36층 9개동 761가구. 2009 사업시행인가 후 약 12년 만에 관리처분인가. 출처: 하우징헤럴드/위클리한국주택경제신문(2026-07-20 검색)","부동산 판(더샵부평점) 010-8028-1848; 골든크로스 부동산 032-441-7771(십정동 소재, 2026-07-20 당근 동네업체 목록 기준)",관련 블로그·카페·SNS 프리미엄 정보 검색 결과 없음(2026-07-20 확인),"인근 신축 참고단지: 힐스테이트부평(십정동 642, 2023년 준공) / 대단지 더샵부평센트럴시티(십정동 630) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P313,재개발,신촌구역,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,부평동,,관리처분,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.487693,126.710288,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 부평동 283-66번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,2억~3억(추정),"97,731","10,011.14",17,"2,298",15.13,342.97,확인필요(착공일 정보 없음),"부평동 283-66번지 일대, 97,731㎡, 최고40층 17개동 2,297가구. 2025-12-10 관리처분계획 인가 고시. 시공사 롯데건설-DL이앤씨 컨소시엄(2019-03 총회 선정). 백운역 역세권, 부평서중·부평고·부평서여중 인접, 부평공원 인접. 출처: 리얼캐스트/민주신문(2026-07-20 검색)","거성공인중개사사무소 032-511-0777; 도도공인중개사사무소 032-362-5220(부평동 소재, 2026-07-20 당근 동네업체 목록 기준)",관련 블로그·카페·SNS 프리미엄 정보 검색 결과 없음(2026-07-20 확인),"인근 신축 참고단지: e편한세상 부평역 센트럴파크(부평2구역, 2024-12 입주) / 구축 참고단지: 부평동아1단지, 부평1동한국 — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
P314,재건축(도시정비법),삼산대보아파트구역,도시정비법,2030 인천광역시 도시·주거환경정비기본계획,인천광역시 부평구청,인천,부평구,삼산동,,착공,인천시 추정분담금 정보시스템(2026.7 기준) 조회 결과,N,"해당없음(도시정비법 조합사업, 예타 비대상)",2026-07-18,37.518333,126.736471,https://renewal.incheon.go.kr/ires/program/0000-0011-0025/program/business/search.do,"대표지번: 삼산동 191번지 일원. 좌표는 동단위 근사치. 가격대는 단계기반 추정치, 실제 시세 미검증",,3억+(추정),"18,513","4,313.26",6,500,26.19,289.28,2027년 3월경(착공일 2024-09-30 + 30개월 추정),"'두산위브 더센트럴 부평' — 시행 삼산대보아파트구역 주택재건축정비사업조합, 시공 두산건설, 지하4~지상최고25층 6개동 500세대(조합원300+일반분양141+임대18). 2024-10-22~23 청약 진행(일반분양 141세대: 50㎡16/52㎡22/63㎡103세대, 서울경제 기사 원문 직접 확인). 분양가·경쟁률 구체 수치는 검색 요약에만 등장해 재확인 안됨",삼산동 소재 개별업체 확인 안됨(2026-07-20) — 당근·호갱노노 등에서 직접 확인 권장,관련 블로그·카페·SNS 프리미엄 정보 검색 결과 없음(2026-07-20 확인),"인근 참고단지: 삼산타운1단지, 삼산타운2단지(삼산동) — 정확한 실거래가는 호갱노노 등에서 단지명으로 직접 확인 필요(2026-07-20 리서치, 구체적 가격 미검증)"
