번호,레벨,지역,계획명,링크,분류,상태,비고
24,②광역,서울,"도시기본계획 2014(서울플랜,목표2030)",https://urban.seoul.go.kr/UpisArchive/DATA/PWEB/STATIC/1_seoul_plan.pdf,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
25,②광역,서울,도시기본계획 2023(목표2040),https://urban.seoul.go.kr/UpisArchive/DATA/PWEB/STATIC/2040_seoul_plan.pdf,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
26,②광역,세종,2030년 세종도시기본계획,https://www.aurum.re.kr/Legal/PlanFileDownLoad.aspx?num=269,계획,확보,"✅ 정상 다운로드 가능 - 직전판(2014수립, 세종 최초)"
27,②광역,세종,2040년 세종도시기본계획,https://www.sejong.go.kr/thumbnail/depart/2024%EB%85%84_%EC%84%B8%EC%A2%85%EB%8F%84%EC%8B%9C%EA%B8%B0%EB%B3%B8%EA%B3%84%ED%9A%8D_%EC%B5%9C%EC%A2%85.pdf,계획,확보,✅ 정상 다운로드 가능(직접 PDF)
28,②광역,인천,도시기본계획 2020(2006수립),https://www.incheon.go.kr/open/OPEN020301/view?planSeq=DOM_0000000001933873&attachFileSeq=FILE_000000000305236,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
29,②광역,인천,도시기본계획 2025(2010수립),https://www.incheon.go.kr/open/OPEN020301/view?planSeq=DOM_0000000001933994&attachFileSeq=FILE_000000000305242,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
30,②광역,인천,도시기본계획 2030,https://www.incheon.go.kr/open/OPEN020301/view?planSeq=DOM_0000000000229428&attachFileSeq=FILE_000000000079506,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
31,②광역,인천,도시기본계획 2040(현행),https://www.incheon.go.kr/open/OPEN020301/view?planSeq=DOM_0000000004220821&attachFileSeq=FILE_000000000638901,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
32,도시기본계획,가평군,-,미확보,계획,미확보,❌ 직접 찾아야 함: 해당 시·군청 홈페이지 접속 → 상단 검색창에 '도시기본계획' 또는 '군기본계획' 입력 → 나오면 첨부파일 다운로드. 안 나오면 '정보공개' 또는 '고시공고' 메뉴 확인
33,도시기본계획,가평군,2035년,https://www.eum.go.kr/web/in/pd/pdBoardDet.jsp?bd_type=3&seq=244&gbn=I,계획,확보(간접),📂 안내 페이지만 확보: 링크 열어서 페이지 하단 '첨부파일' 목록에서 원하는 연도판 직접 클릭해 다운로드
34,도시기본계획,고양,2035년,https://www.goyang.go.kr/www/user/bbs/BD_selectBbs.do?q_bbsCode=1053&q_bbscttSn=20211230175635107,계획,확보,🔍 목록 페이지임: 링크 열어서 검색창에 '도시기본계획' 입력 후 나오는 글 클릭 → 첨부파일 다운로드
35,도시기본계획,과천,2035년,https://ebook.gg.go.kr/home/view.php?host=main&site=20240125_100744,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
36,도시기본계획,광명,2030년(현행),https://docsplayer.org/105322938,계획,텍스트확보,"📄 텍스트로만 확보(docsplayer): 원본 PDF는 아님, 내용 확인용으로만 참고. 정식 PDF 필요하면 광명시청 직접 문의"
37,도시기본계획,광주,2040년,https://ebook.gg.go.kr/home/view.php?host=main&site=20240226_104339,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
38,도시기본계획,구리,2035년,https://ebook.gg.go.kr/home/view.php?host=main&site=20220318_154802,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
39,도시기본계획,군포,2030년,https://www.gunpo.go.kr/www/contents.do?key=4436,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
40,도시기본계획,김포,2035년,https://www.gimpo.go.kr/portal/contents.do?key=7619,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
41,도시기본계획,남양주,2035년,https://www.nyj.go.kr/www/selectBbsNttView.do?key=3023&bbsNo=90&nttNo=436458,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
42,도시기본계획,동두천,2035년,https://ebook.gg.go.kr/src/viewer/main.php?host=main&site=20220906_112406,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
43,도시기본계획,부천,2040년,https://ebook.gg.go.kr/home/view.php?host=main&site=20250526_110801,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
44,도시기본계획,성남,2035년,"https://files-scs.pstatic.net/2025/01/07/kRuicZJLRc/01_2035%EB%85%84%20%EC%84%B1%EB%82%A8%20%EB%8F%84%EC%8B%9C%EA%B8%B0%EB%B3%B8%EA%B3%84%ED%9A%8D(%EC%A0%9C1%ED%8E%B8,2%ED%8E%B8).pdf",계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
45,도시기본계획,수원,2040년,https://ebook.gg.go.kr/home/view.php?host=main&site=20250522_133306,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
46,도시기본계획,시흥,-,미확보,계획,미확보,❌ 직접 찾아야 함: 해당 시·군청 홈페이지 접속 → 상단 검색창에 '도시기본계획' 또는 '군기본계획' 입력 → 나오면 첨부파일 다운로드. 안 나오면 '정보공개' 또는 '고시공고' 메뉴 확인
47,도시기본계획,안산,2040년,https://ebook.gg.go.kr/home/view.php?host=main&site=20250526_130053,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
48,도시기본계획,안성,2030년(일부변경),https://ebook.gg.go.kr/home/view.php?host=main&site=20230120_090414,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
49,도시기본계획,안양,2040년,https://www.anyang.go.kr/main/contents.do?key=427,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
50,도시기본계획,양주,2035년,https://www.yangju.go.kr/www/contents.do?key=3598,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
51,도시기본계획,양평군,2040년(수립중)+2030년(현행),https://www.yp21.go.kr/www/contents.do?key=1417,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
52,도시기본계획,여주,2035년,https://ebook.gg.go.kr/home/view.php?host=main&site=20240903_184138,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
53,도시기본계획,연천군,-,미확보,계획,미확보,❌ 직접 찾아야 함: 해당 시·군청 홈페이지 접속 → 상단 검색창에 '도시기본계획' 또는 '군기본계획' 입력 → 나오면 첨부파일 다운로드. 안 나오면 '정보공개' 또는 '고시공고' 메뉴 확인
54,도시기본계획,연천군,-,"미확보(조례만 확인, 계획원문 검색 실패)",계획,미확보,❌ 직접 찾아야 함: 해당 시·군청 홈페이지 접속 → 상단 검색창에 '도시기본계획' 또는 '군기본계획' 입력 → 나오면 첨부파일 다운로드. 안 나오면 '정보공개' 또는 '고시공고' 메뉴 확인
55,도시기본계획,연천군,고시공고 게시판(원문 미확인),https://www.yeoncheon.go.kr/www/selectGosiData.do?key=3393,계획,미확보,❌ 직접 찾아야 함: 해당 시·군청 홈페이지 접속 → 상단 검색창에 '도시기본계획' 또는 '군기본계획' 입력 → 나오면 첨부파일 다운로드. 안 나오면 '정보공개' 또는 '고시공고' 메뉴 확인
56,도시기본계획,오산,2035년,https://ebook.gg.go.kr/home/view.php?host=main&site=20200924_151732,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
57,도시기본계획,용인,2040년(공청회단계),https://www.yongin.go.kr/home/www/www09/www09_01/www09_01_01.jsp,계획,확보(간접),📂 안내 페이지만 확보: 링크 열어서 페이지 하단 '첨부파일' 목록에서 원하는 연도판 직접 클릭해 다운로드
58,도시기본계획,의왕,2035년,https://ebook.gg.go.kr/home/view.php?host=main&site=20210121_091744,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
59,도시기본계획,의정부,"2035년 정비기본계획(2025.9 확정, 신규정비예정구역 23개소)",https://www.eum.go.kr/web/gs/gv/gvGosiDet.jsp?seq=621238,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
60,도시기본계획,이천,"2030년(계획인구30.3만, 경강선역세권개발)",http://ebook.gg.go.kr/home/view.php?host=main&site=20190501_153122,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
61,도시기본계획,파주,2030년(목록페이지),https://www.paju.go.kr/www/www_02/city/city_02/city_02_04/city_02_04_01.jsp,계획,확보(간접),📂 안내 페이지만 확보: 링크 열어서 페이지 하단 '첨부파일' 목록에서 원하는 연도판 직접 클릭해 다운로드
62,도시기본계획,포천,현행(재수립보고서 다운로드 가능),https://www.pocheon.go.kr/www/contents.do?key=3997,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
63,도시기본계획,하남,2040년,https://ebook.gg.go.kr/home/view.php?host=main&site=20230607_160901,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
64,도시기본계획,화성,2035년(구버전),https://ebook.gg.go.kr/home/view.php?host=main&site=20191212_105013,계획,재확인필요,⚠️ 검증 필요: 링크 열어서 페이지 제목에 '요약'이라고 써있으면 본보고서 아님 → 같은 게시글에 다른 첨부파일(본보고서) 있는지 확인
65,③정비재생,고양,노후계획도시정비기본계획(일산),https://www.goyang.go.kr/www/user/bbs/BD_selectBbs.do?q_bbsCode=1053&q_bbscttSn=20250605092051085,계획,확보,🔍 목록 페이지임: 링크 열어서 검색창에 '도시기본계획' 입력 후 나오는 글 클릭 → 첨부파일 다운로드
66,③정비재생,대전,2030 대전 도시및주거환경정비기본계획 운영지침,https://www.daejeon.go.kr/urb/ContentsHtmlView.do?menuSeq=1171,계획,확보,"✅ 역세권 3종일반주거지역 종상향, 상업→준주거 다운조닝 인센티브 등 세부규정 포함"
67,③정비재생,대전,대전광역시 정비사업 조합 현황,https://www.data.go.kr/tcs/dss/selectDataSetList.do?dType=&keyword=대전광역시+정비사업&org=대전광역시,오픈데이터,확보(간접),📥 data.go.kr에서 '대전광역시 정비사업 조합' 검색 후 다운로드
68,③정비재생,부산,2010 부산광역시 도시및주거환경정비기본계획,https://dynamice.busan.go.kr/view.do?no=256,계획,확보,"✅ 최초판, 같은 페이지에서 다운로드 - 부산은 서울처럼 과거판도 잘 디지털화됨"
69,③정비재생,부산,2020 부산광역시 도시주거환경정비기본계획(2013.2),https://dynamice.busan.go.kr/view.do?no=256,계획,확보,"✅ 직전판, 같은 페이지에서 다운로드"
70,③정비재생,부산,2030 부산광역시 정비기본계획(현행),https://dynamice.busan.go.kr/drctDwnld/busan_2030_01.pdf,계획,확보,"✅ 정상 다운로드, 생활권별 도면 5개 별첨"
71,③정비재생,부산,부산광역시 정비사업 정보(오픈API),https://www.data.go.kr/data/3069406/openapi.do,오픈데이터,확보,📥 구역명·주소·시공자·세대수·용적률·건폐율·조합원수 등 포함. data.go.kr 회원가입+API키 발급 필요(자동승인). 발급 후 받은 데이터를 저한테 주시면 분석 가능
72,③정비재생,서울,2030도시주거환경정비기본계획,https://news.seoul.go.kr/citybuild/archives/525547,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
73,③정비재생,서울,2040서울공업지역기본계획(신규),공청회2025.10.30완료,제도신호,확정대기,⏳ 아직 확정 전: 주기적으로 뉴스 검색해서 확정되면 업데이트 필요 (제가 다음 세션에 재검색 가능)
74,③정비재생,서울,2040준공업지역종합발전계획,https://mas.smc.seoul.kr/attach/record/SEOUL/appendix/a11/A0070124.pdf,계획,대체자료,✅ 원문이 없어 텍스트로 대체 완료 — 추가 조치 불필요
75,③정비재생,서울,도시환경정비사업기본계획(상업준공업),https://news.seoul.go.kr/citybuild/archives/43005,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
76,③정비재생,서울,서울시 건설 정비사업 추진 경과 정보(OA-2254),https://data.seoul.go.kr/dataList/OA-2254/S/1/datasetView.do,오픈데이터,확보,📥 진짜 DB! 사업구분(재개발/재건축)·진행단계(조합설립~관리처분인가)·용적률·건폐율·세대수 포함. 페이지에서 'CSV 다운로드' 클릭 → 저한테 업로드하면 전체 자치구 데이터 분석 가능
77,③정비재생,서울,서울시 도시계획 정비사업 현황(OA-20281),https://data.seoul.go.kr/dataList/OA-20281/S/1/datasetView.do,오픈데이터,확보,📥 결정고시관리코드로 '도시계획 결정고시 정보'와 매칭 가능한 보조 데이터셋
78,③정비재생,울산(참고),울산광역시 도시정비 현황,https://www.data.go.kr/tcs/dss/selectDataSetList.do?dType=&keyword=울산광역시+도시+정비,오픈데이터,확보(간접),"📥 파일럿 외 참고용, 필요시 data.go.kr에서 검색"
79,③정비재생,인천,2030도시주거환경정비기본계획,https://www.incheon.go.kr/open/OPEN020301/view?planSeq=DOM_0000000000503748&attachFileSeq=FILE_000000000110106,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
80,③정비재생,인천,노후계획도시정비기본계획(신규),2026.3확정예정,제도신호,확정대기,⏳ 아직 확정 전: 주기적으로 뉴스 검색해서 확정되면 업데이트 필요 (제가 다음 세션에 재검색 가능)
81,④미래신호,대전,대덕산업단지 특구 지정해제 검토,https://www.daejonilbo.com,제도신호,확보(텍스트),📰 규제완화 초기 논의 단계 - 진행상황 주기적 재검색 필요
82,⑤앵커시설,경기도전체,경기도 산업단지 현황 및 고도화방안(종합보고서),https://memory.library.kr/files/original/5f61e3961ad916e6683ca3c0e92c4dbe.pdf,보고서,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
83,⑤앵커시설,경기도전체,경기주택도시공사 산업단지 조성현황(데이터셋),https://data.gg.go.kr/portal/data/service/selectServicePage.do?infId=FNVPZYP1CFJUB0C6PJU729392132&infSeq=1,데이터,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
84,⑤앵커시설,경기도전체,반도체 산업 지원,https://www.gg.go.kr/contents/contents.do?ciIdx=987415&menuId=1534305,정책,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
85,⑤앵커시설,광명·시흥,광명시흥 도시첨단산업단지,https://data.gg.go.kr/portal/data/service/selectServicePage.do?infId=FNVPZYP1CFJUB0C6PJU729392132,산업단지,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
86,⑤앵커시설,대전,대덕연구개발특구,,호재,미확보,❌ 대덕특구 홈페이지(ddc.or.kr) 또는 과기정통부 검색 필요. 최근 뉴스에 '100만평 대덕산단특구 지정해제 꿈틀' 이슈 있음(규제완화 신호)
87,⑤앵커시설,부산,부산에코델타시티(스마트시티 국가시범도시),https://www.busan.go.kr/ecodelta,호재,확보,"✅ 33개단지 조성중, 2021 첫입주 시작. 5조원 규모"
88,⑤앵커시설,세종,국회 세종의사당,https://namu.wiki/w/국회 세종의사당,호재,확보,"✅ 2026.5.8 마스터플랜 국제공모 당선작 발표, 총사업비 5.6조원, 2028년 준공목표. 세종동 631,000㎡"
89,⑤앵커시설,세종,대통령 제2집무실,https://namu.wiki/w/국회 세종의사당,호재,확보(간접),"📂 국회의사당과 같이 설계공모 진행중, 연내 설계안 확정 예정 - 세종 최대 호재 중 하나"
90,⑤앵커시설,용인,반도체국가산단,https://www.jeonmae.co.kr/news/articleView.html?idxno=1105841,호재,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
91,⑤앵커시설,인천,방산혁신클러스터,-,호재,확보(텍스트),📰 뉴스기사 기반 텍스트 정리본 — 원문 공고는 방위사업청(dapa.go.kr) 공고란에서 '방산혁신클러스터' 검색
92,⑤앵커시설,전국,한국산업단지공단 전국산업단지현황통계,https://www.data.go.kr/data/3041272/fileData.do,데이터,확보(다운로드필요),📥 공공데이터: 링크 접속(로그인 불필요) → 'CSV' 또는 '다운로드' 버튼 클릭 → 저장된 파일을 저와의 채팅에 업로드하면 제가 분석
93,⑥도로IC,경기도전체,제2차 고속도로 건설계획(2021-2025),https://www.gg.go.kr/contents/contents.do?ciIdx=1489&menuId=3395,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
94,⑥도로IC,경기도전체,제3차 경기도 도로건설계획(2021-2025),https://www.gg.go.kr/contents/contents.do?ciIdx=1491&menuId=3397,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
95,⑥도로IC,경기도전체,제5차 국도·국지도 건설계획(2021-2025),https://www.gg.go.kr/contents/contents.do?ciIdx=1490&menuId=3396,계획,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
96,⑥도로IC,세종,바로타(BRT) - 세종 광역교통체계,https://namu.wiki/w/바로타(BRT),계획,확보,"✅ 2013년 개통, 오송역~반석역, 한누리대로 22.9km 완공(2016)"
97,⑥도로IC,인천안산,수도권제2순환(인천~안산구간),-,호재,확보(텍스트),📰 뉴스기사 기반 — 최신 착공 여부는 국토부 보도자료 또는 뉴스 재검색 필요(변동 잦은 사안)
98,⑥도로IC,하남,서울양평고속도로,https://www.aspiring-ceo.com/seoul-yangpyeong-highway-restart-2026/,호재,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
99,⑦GTX,대전,대전도시철도2호선(트램) 예타보고서,https://www.kdi.re.kr/research/subjects_view.jsp?pub_no=12997,계획,확보,"✅ KDI 정식 예타보고서 존재, 이미 예타 통과된 사업(과거). 2호선 본선 확정 후 이번 3·4·5호선이 추가된 것"
100,⑦GTX,대전,제1차 대전광역시 도시철도망 구축계획(2026.6.26 확정고시),https://www.newspim.com/news/view/20260626000289,호재,확보,"✅ 3·4·5호선 본선61.4km+2호선트램지선(교촌·회덕)2.03km, 총63.43km. 방금 확정된 따끈한 소식! 사전·예타 후속절차 진행예정"
101,⑦GTX,부산,부산 도시철도 추가노선(하단녹산선·강서선·기장선·정관선 등),https://namu.wiki/w/부산 도시철도/추가 계획,검토중/일부탈락,확보,"🔄 정정: 정관선은 2026.2.12 예타 통과 확정(노포정관선1단계 등 3개사업). 기장선(B/C0.912)탈락, 강서선(B/C>1)은 김해신공항 문제로 보류, 나머지는 여전히 어려움"
102,⑦GTX,부산,부산도시철도5호선(사상하단선),https://namu.wiki/w/부산 도시철도 5호선,호재/악재혼재,확보,"⚠️ 2026.6기준 공정률77.92%, 2027.12 준공목표(1년연기). 단 지반침하 이슈 발생중(악재 신호) - 감리부실 논란"
103,⑦GTX,부산울산경남,부산울산경남 광역철도(BuTX),,계획,미확보,❌ 직접 찾아야 함: 부산시 도시철도과 또는 국토부 대도시권광역교통위원회 검색
104,⑦GTX,부산울산양산,부산-울산-양산 광역철도,https://namu.wiki/w/부산 도시철도/추가 계획,검토중,확보,"✅ 정정: 2025.7.10 예타 통과 확정. B/C=0.49(경제성미흡), AHP=0.502(정책성통과) - GTX-D와 동일패턴. 총사업비2.55조, 47.6km, 2031개통목표, 노포역 일대 개발 동시 추진"
105,⑦GTX,부천,GTX-D서부권,https://namu.wiki/w/수도권 광역급행철도 D선,호재,예타통과,✅ 예타 통과 확정 사업 — 진행상황은 국토부/국가철도공단 보도자료로 주기적 확인 권장
106,⑦GTX,세종,충청권광역철도 2단계+충청권광역급행철도,https://namu.wiki/w/세종특별자치시/교통,계획,확보,"✅ 조치원~내판~부강~매포 구간, 제4차국가철도망구축계획 포함. 광역급행철도는 반석역~세종~조치원~오송~청주공항"
107,⑦GTX,양주,GTX-C양주역추가정차,https://namu.wiki/w/수도권 광역급행철도 C선,호재,검토중,⏳ 검토 중 — 국토부와 협상결과 나오면 업데이트 필요(2026년 하반기 예정)
108,⑦GTX,울산(참고),울산도시철도2호선,https://www.ulsanpress.net/news/articleView.html?idxno=562078,검토중,확보,"⏳ 2025.11 예타대상사업 선정(2차시도만에 성공), 최종예타 결과 대기중. 2029착공 2032개통목표"
109,⑧데이터물류,부천,마켓컬리물류센터,https://www.klnews.co.kr/news/articleView.html?idxno=319717,호재,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
110,⑧데이터물류,인천,AWS·PDG데이터센터,https://www.theicn.co.kr/news/articleView.html?idxno=910,호재,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
111,⑨군부지,경기도전체,미군기지 이전구역 활용,https://www.gg.go.kr/contents/contents.do?ciIdx=846&menuId=2110,정책,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
112,⑨군부지,부산,55보급창(동구) 이전+공원화,https://namu.wiki/w/주한미군/부대,호재,확보,"✅ 2030년까지 이전+기존부지 공원화, 북항재개발 2단계와 인접(부산동구 재개발 핵심). 단 2024.10 대형화재 발생 이력 있음"
113,⑨군부지,부산,"캠프 하야리야(부산시민공원, 완료사례)",https://namu.wiki/w/주한미군/부대,참고,완료,"✅ 이미 반환·공원화 완료된 성공사례 - 참고용, 추가조치 불필요"
114,⑨군부지,세종,연서면 항공부대·소정리 유류부대 이전,https://www.sjsori.com/news/articleList.html?sc_sub_section_code=S2N28,제도신호,확정대기,"⏳ 2013년부터 논의(10년+ 지연), 고도제한 완화 이슈 있음 - 최신 진행상황 재검색 필요"
115,⑨군부지,인천부평,캠프마켓완전반환,https://namu.wiki/w/주한미군/부대,호재,2028예정,✅ 반환은 완료됨(2023.12) — 후속 공원조성사업 진행상황만 주기적 확인 필요
116,⑨군부지,하남,옛미군부지(캠프콜번추정),https://namu.wiki/w/주한미군/부대,호재,반환지연,✅ 진행 활발(SPC설립단계) — 반환 완료 공식발표 나오면 plans.csv로 승격 검토
117,⑩그린벨트,경기도전체,개발제한구역(GB) 정보,https://www.gg.go.kr/bbs/board.do?bsIdx=659&menuId=2059,현황,확보(시군별 세부는 직접조회필요),📥 시군별 세부수치는 data.go.kr에서 CSV 다운로드 필요 (링크: https://www.data.go.kr/data/15062357/fileData.do) → 받아서 저한테 업로드
118,⑩그린벨트,대전,대전권 개발제한구역 관리계획(2021)+2025도시관리계획,https://www.daejeon.go.kr/urb/ContentsHtmlView.do?menuSeq=6430,현황,확보,"✅ 1973.6 지정(전국2차), 대전 관할 539.7㎢ 대상 토지적성평가 실시. 소규모단절토지 정비방안도 포함"
119,⑩그린벨트,세종,세종특별자치시 개발제한구역 현황,https://www.sejong.go.kr/kor/sub04_050503.do,현황,확보(간접),📂 세종은 신도시 계획도시라 그린벨트 비중 낮음 - 페이지 접속해 세부수치 확인 필요
120,⑩그린벨트,안양,그린벨트51.3%,위키백과,현황,확보,✅ 정상 다운로드 가능 — 링크 클릭하면 바로 받아짐
121,⑩그린벨트,전국,개발제한구역토지활용현황,https://www.data.go.kr/data/15062357/fileData.do,데이터,다운로드필요,📥 공공데이터: 링크 접속(로그인 불필요) → 'CSV' 또는 '다운로드' 버튼 클릭 → 저장된 파일을 저와의 채팅에 업로드하면 제가 분석
